name, hostname, date, cores, module, function, type, parent_module, parent_function, parent_type, category, unit, value
chan180, unknown, 20240424, 6, kernel, all, average time, , , , computation+communications+io, s, 0.93777458E+003
chan180, unknown, 20240424, 6, kernel, all, maximum time, , , , computation+communications+io, s, 0.93777458E+003
chan180, unknown, 20240424, 6, kernel, all, master memory, , , , memory, B, 0.10782443E+010
chan180, unknown, 20240424, 6, kernel, all, maximum memory, , , , memory, B, 0.12636416E+010
chan180, unknown, 20240424, 6, kernel, all, average memory, , , , memory, B, 0.12563598E+010
chan180, unknown, 20240424, 6, read, all, average time, kernel, all, average time, io, s, 0.78758736E-001
chan180, unknown, 20240424, 6, read, geometry, average time, read, all, average time, io, s, 0.65671853E-001
chan180, unknown, 20240424, 6, read, sets, average time, read, all, average time, io, s, 0.13683310E-002
chan180, unknown, 20240424, 6, read, boundary conditions, average time, read, all, average time, io, s, 0.13719270E-002
chan180, unknown, 20240424, 6, read, fields, average time, read, all, average time, io, s, 0.10346625E-001
chan180, unknown, 20240424, 6, read, all, maximum time, kernel, all, maximum time, io, s, 0.78758736E-001
chan180, unknown, 20240424, 6, read, geometry, maximum time, read, all, maximum time, io, s, 0.65671853E-001
chan180, unknown, 20240424, 6, read, sets, maximum time, read, all, maximum time, io, s, 0.13683310E-002
chan180, unknown, 20240424, 6, read, boundary conditions, maximum time, read, all, maximum time, io, s, 0.13719270E-002
chan180, unknown, 20240424, 6, read, fields, maximum time, read, all, maximum time, io, s, 0.10346625E-001
chan180, unknown, 20240424, 6, init, all, average time, kernel, all, average time, computation+communications, s, 0.42937099E+001
chan180, unknown, 20240424, 6, init, mesh partition, average time, init, all, average time, computation+communications, s, 0.79535248E+000
chan180, unknown, 20240424, 6, init, mesh multiplication, average time, init, all, average time, computation+communications, s, 0.64585000E-004
chan180, unknown, 20240424, 6, init, additional arrays, average time, init, all, average time, computation+communications, s, 0.41556467E+000
chan180, unknown, 20240424, 6, init, all, maximum time, kernel, all, maximum time, computation+communications, s, 0.42937099E+001
chan180, unknown, 20240424, 6, init, mesh partition, maximum time, init, all, maximum time, computation+communications, s, 0.79535248E+000
chan180, unknown, 20240424, 6, init, mesh multiplication, maximum time, init, all, maximum time, computation+communications, s, 0.64585000E-004
chan180, unknown, 20240424, 6, init, additional arrays, maximum time, init, all, maximum time, computation+communications, s, 0.41556467E+000
chan180, unknown, 20240424, 6, domain, all, average time, init, all, average time, computation+communications, s, 0.22874403E+001
chan180, unknown, 20240424, 6, domain, groups, average time, domain, all, average time, computation+communications, s, 0.58310971E+000
chan180, unknown, 20240424, 6, domain, halos, average time, domain, all, average time, computation+communications, s, 0.32110977E-001
